	sig_id	A375	A549	HA1E	HCC515	HEKTE	HEPG2	HT29	JURKAT	MCF7	PC3	SHSY5Y	SW480	VCAP
193	KDA002_A549_96H:TRCN0000035709:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
194	KDA002_A549_96H:TRCN0000040167:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
195	KDA002_A549_96H:TRCN0000047922:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
196	KDA002_A549_96H:TRCN0000061800:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
197	KDA002_HT29_96H:TRCN0000000583:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
198	KDA002_HT29_96H:TRCN0000002430:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
199	KDA002_HT29_96H:TRCN0000002509:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
200	KDA002_HT29_96H:TRCN0000003551:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
201	KDA002_HT29_96H:TRCN0000004304:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
202	KDA002_HT29_96H:TRCN0000021847:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
203	KDA002_HT29_96H:TRCN0000039590:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
204	KDA002_HT29_96H:TRCN0000061801:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
205	KDA002_MCF7_144H:TRCN0000000583:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
206	KDA002_MCF7_144H:TRCN0000035710:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
207	KDA002_MCF7_144H:TRCN0000061800:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
208	KDA002_MCF7_96H:TRCN0000004925:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
209	KDA002_MCF7_96H:TRCN0000007241:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
210	KDA002_MCF7_96H:TRCN0000020843:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
211	KDA002_MCF7_96H:TRCN0000029389:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
212	KDA002_PC3_144H:TRCN0000000585:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
213	KDA002_PC3_144H:TRCN0000005096:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
214	KDA002_PC3_144H:TRCN0000007006:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
215	KDA002_PC3_96H:TRCN0000002429:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
216	KDA002_PC3_96H:TRCN0000003552:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
217	KDA002_PC3_96H:TRCN0000007241:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
218	KDA002_PC3_96H:TRCN0000038789:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
219	KDA002_PC3_96H:TRCN0000045299:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
220	KDA002_VCAP_120H:TRCN0000002512:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
221	KDA002_VCAP_120H:TRCN0000004303:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
222	KDA002_VCAP_120H:TRCN0000004828:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
223	KDA002_VCAP_120H:TRCN0000004872:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
224	KDA002_VCAP_120H:TRCN0000005096:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
225	KDA002_VCAP_120H:TRCN0000019990:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
226	KDA002_VCAP_120H:TRCN0000021846:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
227	KDA002_VCAP_120H:TRCN0000035710:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
228	KDA002_VCAP_120H:TRCN0000061801:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
229	KDA003_A549_96H:TRCN0000003800:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
230	KDA003_A549_96H:TRCN0000007454:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
231	KDA003_A549_96H:TRCN0000007932:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
232	KDA003_A549_96H:TRCN0000009459:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
233	KDA003_A549_96H:TRCN0000013739:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
234	KDA003_A549_96H:TRCN0000015813:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
235	KDA003_A549_96H:TRCN0000019033:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
236	KDA003_A549_96H:TRCN0000019539:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
237	KDA003_A549_96H:TRCN0000022217:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
238	KDA003_A549_96H:TRCN0000037899:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
239	KDA003_A549_96H:TRCN0000039601:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
240	KDA003_A549_96H:TRCN0000045248:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
241	KDA003_A549_96H:TRCN0000064514:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
242	KDA003_HA1E_96H:TRCN0000000595:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
243	KDA003_HA1E_96H:TRCN0000003799:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
244	KDA003_HA1E_96H:TRCN0000006294:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
245	KDA003_HA1E_96H:TRCN0000007930:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
246	KDA003_HA1E_96H:TRCN0000014793:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
247	KDA003_HA1E_96H:TRCN0000033458:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
